ID,Incident Date,District,Bias Code,Bias Code_2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects < 18 of age,# Suspects 18-35 of age,# Suspects 36-45 of age,# Suspects 46-55 of age,# Suspects > 55 of age,Suspect Known/Unknown
190041672,8/31/2019,TPPD,Anti-Homosexual,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
16060434,11/24/2016,3D,Anti-Black,,Verbal Intimidation/Simple Assault,UNF,3,Individual(s),,,,,,,Unknown
16000451,1/3/2016,2D,Anti-Black,,Vandalism,Inactive,,School/College,,,,,,,Unknown
200006007,2/5/2020,3D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,1,,Known
16014662,3/28/2016,6D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
17005427,1/31/2017,6D,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),,,,,,,Unknown
170528788,9/5/2017,2D,Anti-Jewish,,Flyer Left Behind,N/A,1,Individual(s),,,,,,,Unknown
180036812,7/25/2018,1D,Anti-Jewish,,Flyer Left Behind,N/A,2,Individual(s),,,,,,,Unknown
200008665,2/20/2020,2D,Anti-Jewish,,Written Intimidation/Simple Assault,N/A,,School/College,1,1,,,,,Known
16061372,11/30/2016,3D,Anti-White,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
190043357,9/10/2019,4D,Anti-Asian,,Assault (physical),Open,1,Individual(s),1,,,1,,,Known
170545799,11/30/2017,5D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
200011976,3/11/2020,4D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
17000751,1/5/2017,RCPD,Anti-Jewish,,Vandalism,Inactive,,Government,,,,,,,Unknown
170505864,5/10/2017,2D,Anti-Homosexual,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,1,,,,,Known
190024373,5/22/2019,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
190003079,1/19/2019,RCPD,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
17001426,1/9/2017,1D,Anti-Jewish,,Verbal Intimidation/Simple Assault,Closed-Admin,,Religious Organization,,,,,,,Unknown
16031132,6/20/2016,2D,Anti-Multi-Religious Group,,Vandalism,N/A,,School/College,,,,,,,Unknown
16022796,5/8/2016,3D,Anti-Hispanic,,Assault (physical),Closed-Exception,1,Individual(s),,,,,,,Unknown
190020026,4/27/2019,2D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,,School/College,2,2,,,,,Known
16064736,12/16/2016,2D,Anti-Homosexual,,Vandalism,Inactive,,Religious Organization,,,,,,,Unknown
170513786,6/15/2017,3D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
190021275,5/6/2019,5D,Anti-Transgender,,Vandalism,Open,,Business/Financial Institution,1,1,,,,,Known
