"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"171",180009756,"1D","Anti-Black","Other","Government",2018
"172",16035346,"3D","Anti-Homosexual","Assault (physical)","Individual(s)",2016
"173",16002798,"5D","Anti-Transgender","Verbal Intimidation/Simple Assault","Individual(s)",2016
"174",170521252,"RCPD","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"175",170523413,"4D","Anti-Black","Vandalism","Individual(s)",2017
"176",190022870,"RCPD","Anti-Hispanic","Vandalism","Business/Financial Institution",2019
"177",190023755,"2D","Anti-Other Ethnicity","Vandalism","School/College",2019
"178",190056448,"2D","Anti-Jewish","Vandalism","Individual(s)",2019
"179",200003519,"5D","Anti-Jewish","Vandalism","School/College",2020
"180",170524454,"6D","Anti-Homosexual","Verbal Intimidation/Simple Assault","Individual(s)",2017
"181",180023500,"RCPD","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2018
"182",17010637,"5D","Anti-Jewish","Vandalism","School/College",2017
"183",190025582,"2D","Anti-Jewish","Vandalism","School/College",2019
"184",180010731,"TPPD","Anti-Transgender","Assault (physical)","Individual(s)",2018
"185",16001171,"2D","Anti-Jewish","Vandalism","School/College",2016
"186",16064844,"6D","Anti-Homosexual","Vandalism","Other",2016
"187",170528411,"6D","Anti-Black","Physical Intimidation/Simple Assault","Individual(s)",2017
"188",170531517,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"189",190023112,"1D","Anti-Jewish","Vandalism","School/College",2019
"190",180000925,"2D","Anti-Asian","Written Intimidation/Simple Assault","Individual(s)",2018
"191",16067112,"1D","Anti-Jewish","Vandalism","Other",2016
"192",180036383,"GCPD","Anti-Arab","Vandalism","Individual(s)",2018
"193",190041233,"RCPD","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2019
"194",16030098,"4D","Anti-Asian","Verbal Intimidation/Simple Assault","Individual(s)",2016
"195",190040984,"4D","Anti-Jewish","Vandalism","Other",2019
"196",200002368,"4D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2020
"197",180034717,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"198",16031655,"2D","Anti-Islamic","Assault (physical)","Individual(s)",2016
"199",17011943,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2017
"200",180053627,"1D","Anti-Jewish","Vandalism","School/College",2018
